name       ra       dec 
GASS26311  155.78993  12.23953
GASS26503  155.8097  12.87334
GASS26336  155.81738  13.09133
GASS22999  155.81842  11.85568
GASS26319  155.91405  13.04095
GASS110076  155.95924  26.21735
GASS26436  156.0563  13.24579
GASS110040  156.28722  13.6014
GASS23029  156.7744  11.05487
GASS23026  156.84157  11.07998
GASS26535  156.8642  13.42396
GASS23069  156.92757  10.82434
GASS5204  156.96182  2.60946
GASS23039  156.98338  11.24574
GASS23070  157.01204  10.77513
GASS110019  157.25665  26.1535
GASS110057  157.34608  26.07045
GASS23102  157.45506  11.86235
GASS54577  157.57773  27.57304
GASS110042  157.99347  11.60634
GASS23114  158.07054  12.05608
GASS55541  158.1958  21.21564
GASS110003  158.19818  15.86083
GASS23120  158.38593  11.8756
GASS23194  158.3893  11.87138
GASS23195  158.3943  11.90699
GASS26602  158.44756  12.73282
GASS26598  158.45827  12.87836
GASS110043  158.47363  24.0221
GASS110001  158.78922  25.03809
GASS110055  158.8546  3.29443
GASS110017  158.91377  28.56581
GASS23203  158.95795  12.20355
GASS26586  159.04707  13.1737
GASS23213  159.0913  11.88806
GASS54763  159.34108  27.35874
GASS26569  159.53397  13.29364
GASS26570  159.7746  13.36487
GASS110059  159.80478  31.11403
GASS23227  159.8048  12.19194
GASS23228  159.83344  11.69116
GASS110041  159.91264  25.32274
GASS15181  160.01234  6.02058
GASS26629  160.08652  13.47013
GASS15211  160.10277  6.86048
GASS26640  160.11874  13.62277
GASS26639  160.19188  13.78331
GASS15155  160.22997  5.99141
GASS15166  160.3381  6.27898
GASS29555  160.43985  13.89803
GASS23315  160.50311  11.78002
GASS57099  160.59132  15.35961
GASS23302  160.70264  11.00024
GASS15151  160.71416  5.85989
GASS23320  160.87476  12.08774
GASS110049  160.91261  4.97048
GASS23245  160.91283  12.06066
GASS8914  161.00922  4.66301
GASS110054  161.01025  22.25754
GASS38255  161.26688  10.18544
GASS29594  161.6652  14.11318
GASS110007  161.70563  18.03108
GASS29596  161.76176  14.26335
GASS15257  162.02415  6.02067
GASS110022  162.05849  13.21702
GASS29510  162.14203  12.98299
GASS8971  162.15784  4.79901
GASS29505  162.24509  13.01626
GASS15242  162.57054  6.12259
GASS23381  162.75133  12.28738
GASS23419  162.82713  12.75653
GASS34723  162.89203  30.20608
GASS23437  162.9497  11.98381
GASS8953  163.17381  4.15387
GASS8945  163.3137  4.3342
GASS23441  163.3176  11.6389
GASS23408  163.34319  11.18067
GASS110063  163.80258  5.86256
GASS23445  164.0099  11.87218
GASS9085  164.19215  5.66111
GASS23450  164.20244  12.09326
GASS23496  164.33998  12.10307
GASS54986  164.4138  27.49366
GASS23453  164.50122  11.98713
GASS17659  164.53166  9.2761
GASS110081  164.57086  4.79225
GASS9114  164.77951  5.00623
GASS17640  164.87479  8.70921
GASS17635  164.89809  8.92683
GASS17673  164.99393  10.38678
GASS57415  165.01617  17.424355
GASS15485  165.01898  8.10618
GASS23457  165.04758  12.17087
GASS5442  165.13548  2.11607
GASS17684  165.1553  10.43721
GASS17622  165.18324  9.04529
GASS29624  165.20973  13.59763
GASS23518  165.26521  12.14105
GASS34989  165.91458  31.85817
GASS15570  166.76794  7.80401
GASS23563  166.92377  13.02567
GASS29699  167.07643  13.22432
GASS47896  167.21333  28.47571
GASS111042  167.26198  5.03164
GASS111035  167.68839  12.01614
GASS47677  167.7592  25.90686
GASS48356  167.80498  28.69641
GASS47825  167.94678  28.2673
GASS48205  167.96484  27.19889
GASS48160  168.00745  27.84829
GASS111062  168.16949  25.49797
GASS17840  168.227  9.51399
GASS12371  168.27669  5.23417
GASS15612  168.42224  7.76275
GASS111066  168.49005  10.87173
GASS17824  168.5202  9.15667
GASS48208  168.5424  27.23893
GASS23531  168.62093  11.14663
GASS12318  168.68063  4.02452
GASS17843  168.69012  10.22486
GASS23539  168.69978  11.79306
GASS5701  168.78918  2.69902
GASS111101  169.0172  10.16254
GASS111064  169.23036  27.57242
GASS111077  169.34116  27.67321
GASS48521  169.41214  26.58502
GASS48518  169.46135  26.65752
GASS24496  169.54129  7.78165
GASS12452  170.0259  4.17656
GASS12455  170.07416  4.32036
GASS12293  170.12183  4.12838
GASS48544  170.1629  27.29374
GASS12460  170.2013  3.83918
GASS12458  170.3261  3.66474
GASS29842  170.38234  13.42661
GASS111053  170.41559  11.49017
GASS5848  170.4268  3.57348
GASS111083  170.57465  12.72253
GASS24513  170.6894  7.52042
GASS23685  170.79846  13.11772
GASS29883  171.4377  14.67659
GASS23715  171.68613  12.84842
GASS23703  171.8816  12.14288
GASS111093  171.91312  23.75794
GASS48604  171.94283  26.9596
GASS17865  172.33624  8.60233
GASS111067  172.40918  9.96759
GASS29892  172.44315  15.33364
GASS111030  172.7654  20.23564
GASS29871  173.05179  13.49246
GASS48974  173.7813  29.891033
GASS6015  173.85202  2.27426
GASS23757  174.18964  13.33611
GASS111079  174.2579  15.57061
GASS57697  174.26743  24.09626
GASS23761  174.26788  12.92659
GASS23739  174.2753  11.87715
GASS111100  174.37805  15.48634
GASS111086  174.81137  14.99243
GASS111071  174.98128  13.46723
GASS111080  175.04869  17.31234
GASS23789  175.4361  12.49364
GASS23781  175.55125  11.51142
GASS111029  175.5609  20.09784
GASS48994  175.575  30.2303
GASS111047  175.72472  0.16186
GASS12597  175.78973  5.93274
GASS111036  175.8053  20.13193
GASS111024  176.09641  16.55127
GASS111090  176.55145  10.59553
GASS111002  176.86768  18.05367
GASS111057  177.13519  12.70529
GASS111044  177.34203  24.93847
GASS18087  177.41942  9.71532
GASS111070  177.58408  25.96187
GASS23815  177.65276  11.36442
GASS18084  177.80246  8.88656
GASS18004  177.89609  8.75214
GASS111054  178.01088  25.75112
GASS111075  178.15836  24.30763
GASS111088  178.57404  32.861
GASS111091  178.74391  26.20251
GASS111023  178.89639  25.88945
GASS49433  178.90263  29.35124
GASS111027  179.36119  25.23308
GASS111004  179.46408  27.86868
GASS111049  179.4854  25.06829
GASS111074  179.52179  27.87886
GASS111063  179.60596  25.09765
GASS111007  179.69029  27.45244
GASS111056  179.69624  15.71628
GASS111013  179.7728  24.98896
GASS49386  179.80757  30.89052
GASS111028  179.95673  30.84442
GASS112065  180.28346  15.39825
GASS112090  180.59383  29.86177
GASS18138  180.66463  8.94007
GASS18185  180.78354  11.15568
GASS112072  180.86388  16.48572
GASS112106  180.90392  2.63047
GASS112068  181.04057  1.82598
GASS112014  181.13412  2.45312
GASS49727  181.18834  31.19248
GASS18131  181.19106  9.42253
GASS112027  181.22945  19.98198
GASS18225  181.2976  10.56142
GASS18220  181.40108  10.68703
GASS18202  182.89561  9.35192
GASS112088  182.94839  12.14371
GASS112019  182.98669  27.64321
GASS112117  183.14384  11.07508
GASS24149  183.48438  13.67646
GASS30192  183.57597  14.39607
GASS112058  183.80516  13.18454
GASS30175  184.01112  14.18939
GASS24168  184.05154  13.43762
GASS24736  184.23161  8.35914
GASS24740  184.32874  8.72575
GASS24183  184.43379  13.17104
GASS24741  184.46172  8.43028
GASS112113  184.56097  10.35395
GASS112100  184.6254  4.3068
GASS18335  184.72476  10.00282
GASS112078  184.93394  9.14861
GASS18421  185.027  10.07479
GASS18279  185.09628  8.86028
GASS24094  185.12575  11.34094
GASS24757  185.2006  8.704
GASS18422  185.34691  9.84806
GASS30338  185.83159  14.30374
GASS28057  186.38593  8.0504
GASS112112  186.41727  20.52847
GASS6375  186.86507  3.30213
GASS28062  187.00352  8.18559
GASS28030  187.26114  8.52592
GASS18482  187.72153  9.08249
GASS112044  187.77707  4.58826
GASS18469  188.21457  8.73998
GASS50404  188.53792  28.13071
GASS30439  188.54295  15.96822
GASS18581  188.68146  9.00469
GASS30401  188.68832  14.55739
GASS12967  188.97298  5.78986
GASS12970  188.97415  5.76106
GASS24426  189.09468  13.60287
GASS18576  189.10806  8.94439
GASS12966  189.13435  6.1696
GASS50406  189.2247  27.74911
GASS30479  189.28362  14.40748
GASS28143  189.29752  8.6583
GASS112038  189.42152  27.12956
GASS30471  189.47166  14.28131
GASS112051  189.59225  1.67918
GASS112109  189.64967  1.40228
GASS24366  189.91194  12.41888
GASS24436  189.94444  13.5333
GASS24437  189.9553  13.54912
GASS12983  190.13528  5.35554
GASS28168  190.22902  8.05645
GASS112053  190.30882  26.73613
GASS50550  190.36674  28.7912
GASS112080  190.37061  26.08861
GASS28482  190.78035  11.21199
GASS6506  190.78902  3.58119
GASS13037  190.81238  4.08389
GASS112081  190.92966  25.47147
GASS112054  191.03596  25.41616
GASS112001  191.34967  9.08622
GASS28462  191.5761  11.87358
GASS28461  191.59448  11.87661
GASS40393  191.84657  8.2924
GASS112050  192.17093  34.47761
GASS6565  192.40916  2.75561
GASS112089  192.61092  26.73533
GASS6583  192.73248  3.19703
GASS26822  192.87112  13.78182
GASS13074  192.89369  5.86356
GASS112016  193.34035  26.36142
GASS13091  193.71605  3.88484
GASS50856  193.94928  28.2561
GASS112116  194.02542  27.67811
GASS50866  194.04126  27.84425
GASS40495  194.11224  9.60125
GASS35497  194.2109  28.92984
GASS28551  194.23782  12.36352
GASS40494  194.26875  10.62072
GASS112004  194.44943  27.76946
GASS40502  194.47012  10.29852
GASS112003  194.47652  27.49064
GASS112002  194.48549  27.3823
GASS112017  194.50714  27.85357
GASS112012  194.53142  26.32685
GASS112006  194.61221  29.61248
GASS28526  194.61916  11.42648
GASS112060  194.66006  27.5441
GASS112035  194.77206  27.64443
GASS112084  194.79295  27.61988
GASS40500  194.7962  10.50168
GASS30508  194.85928  14.34169
GASS35475  194.89864  28.55137
GASS30532  194.89981  15.04927
GASS112011  194.90619  28.16614
GASS13227  194.9585  5.04756
GASS113040  195.03809  27.86649
GASS113032  195.0434  27.59502
GASS113012  195.06882  27.96752
GASS113060  195.07738  27.81554
GASS113128  195.07823  27.93705
GASS113047  195.07961  27.55373
GASS113100  195.14867  27.57424
GASS113051  195.28847  27.81833
GASS113004  195.30678  27.91427
GASS35437  195.35448  28.67723
GASS6679  195.5449  3.10658
GASS113078  195.64496  27.94912
GASS113025  195.64658  27.43944
GASS25167  195.73705  12.88058
GASS113049  195.77473  26.53113
GASS40425  196.01762  8.80573
GASS113052  196.03317  27.96496
GASS113001  196.04688  27.49044
GASS40439  196.06268  9.22346
GASS13156  196.19583  3.90495
GASS13158  196.22589  3.82448
GASS25154  196.23924  12.07907
GASS13159  196.35602  3.99159
GASS113137  196.534805  30.20927
GASS40647  196.60342  9.94328
GASS113114  196.65903  28.84847
GASS6749  196.96169  3.19466
GASS113126  197.01073  27.31114
GASS25215  197.63412  11.0225
GASS113022  197.7355  11.47737
GASS40570  197.7706  8.80787
GASS113141  197.88197  8.7432
GASS40566  197.93494  9.10995
GASS25213  198.0951  11.72766
GASS25214  198.13673  11.72896
GASS113098  198.39699  29.12653
GASS25236  198.48862  12.59258
GASS25202  198.56667  12.06348
GASS26936  198.85506  15.42285
