#GASS_ID   SDSS_OBJID   RA   DEC   z   SURVEY_ID    RA   DEC   z   GROUP_ID
GASS3821 1237653651308806260 25.18 13.55 0.045 0 0.0 0.0 0.0 0
GASS3819 1237653651308871769 25.43 13.68 0.045 0 0.0 0.0 0.0 0
GASS3817 1237653651845939335 25.86 13.85 0.045 0 0.0 0.0 0.0 0
GASS4094 1237649918970363988 25.86 13.32 0.028 0 0.0 0.0 0.0 0
GASS4111 1237649954406465636 26.51 14.24 0.044 0 0.0 0.0 0.0 0
GASS4119 1237653651846266997 26.62 13.95 0.044 0 0.0 0.0 0.0 0
GASS101031 1237649918434017451 26.98 12.69 0.018 0 0.0 0.0 0.0 0
GASS101030 1237653650772722004 27.02 12.93 0.017 0 0.0 0.0 0.0 0
GASS101000 1237653651309658215 27.22 13.42 0.016 0 0.0 0.0 0.0 0
GASS101012 1237653650772787408 27.26 12.93 0.017 0 0.0 0.0 0.0 0
GASS4195 1237649920581501102 27.28 14.43 0.045 0 0.0 0.0 0.0 0
GASS4074 1237649918434148365 27.30 12.85 0.026 0 0.0 0.0 0.0 0
GASS101024 1237653651309723760 27.32 13.47 0.017 0 0.0 0.0 0.0 0
GASS101016 1237653650772852748 27.33 13.05 0.018 0 0.0 0.0 0.0 0
GASS101019 1237653651309723856 27.33 13.30 0.017 0 0.0 0.0 0.0 0
GASS101022 1237653651309723779 27.35 13.37 0.015 0 0.0 0.0 0.0 0
GASS101011 1237649918971019363 27.39 13.23 0.017 0 0.0 0.0 0.0 0
GASS4065 1237649918434213983 27.42 12.75 0.049 0 0.0 0.0 0.0 0
GASS101017 1237653650772918395 27.47 12.98 0.016 0 0.0 0.0 0.0 0
GASS101008 1237649918971084821 27.48 13.13 0.017 0 0.0 0.0 0.0 0
GASS101010 1237649918971084957 27.57 13.14 0.016 0 0.0 0.0 0.0 0
GASS4203 1237649954406924408 27.61 14.19 0.034 0 0.0 0.0 0.0 0
GASS101001 1237649919507955919 27.63 13.66 0.017 0 0.0 0.0 0.0 0
GASS101018 1237649918971150356 27.65 13.11 0.016 0 0.0 0.0 0.0 0
GASS4165 1237653651846725744 27.69 13.69 0.044 0 0.0 0.0 0.0 0
GASS4163 1237649918971347047 28.19 13.19 0.026 0 0.0 0.0 0.0 0
GASS101026 1237679167160713400 28.52 14.91 0.017 0 0.0 0.0 0.0 0
GASS4145 1237649918971609134 28.82 12.99 0.032 0 0.0 0.0 0.0 0
GASS4216 1237679167160910012 28.97 14.94 0.044 0 0.0 0.0 0.0 0
GASS4134 1237649918434869329 29.03 12.57 0.045 0 0.0 0.0 0.0 0
GASS4137 1237653651310510116 29.22 13.21 0.044 0 0.0 0.0 0.0 0
GASS4136 1237653651310510247 29.27 13.17 0.032 0 0.0 0.0 0.0 0
GASS4233 1237679167161041117 29.28 14.93 0.043 0 0.0 0.0 0.0 0
GASS4230 1237653652921057594 29.29 14.55 0.026 0 0.0 0.0 0.0 0
GASS4223 1237649921119223868 29.30 14.74 0.026 0 0.0 0.0 0.0 0
GASS3918 1237653651310575752 29.33 13.13 0.033 0 0.0 0.0 0.0 0
GASS4130 1237653651310575653 29.33 13.17 0.045 0 0.0 0.0 0.0 0
GASS4132 1237649919508742295 29.43 13.39 0.044 0 0.0 0.0 0.0 0
GASS3917 1237649919508742339 29.48 13.36 0.044 0 0.0 0.0 0.0 0
GASS4239 1237649920582484073 29.57 14.30 0.026 0 0.0 0.0 0.0 0
GASS101033 1237649954407907520 29.88 13.94 0.015 0 0.0 0.0 0.0 0
GASS3936 1237649920045809682 29.94 13.78 0.044 0 0.0 0.0 0.0 0
GASS102001 1237679167161499826 30.27 14.70 0.015 0 0.0 0.0 0.0 0
GASS3957 1237649920046202994 30.86 13.65 0.033 0 0.0 0.0 0.0 0
GASS3960 1237679167161761910 30.96 14.76 0.032 0 0.0 0.0 0.0 0
GASS3956 1237649920046268526 30.97 13.67 0.033 0 0.0 0.0 0.0 0
GASS3962 1237653652921843735 31.00 14.31 0.043 0 0.0 0.0 0.0 0
GASS3966 1237649920583205028 31.23 14.02 0.031 0 0.0 0.0 0.0 0
