304612  218.323  218.326  3.903  4.007  0.0296  0.0330  102  128485
304620  218.451  218.326  3.957  4.007  0.0293  0.0330  102  128485
487256  218.464  218.520  3.679  3.700  0.0288  0.0333  102  5247
303902  218.695  218.709  3.342  3.265  0.0276  0.0260  102  127508
487294  218.899  218.791  3.689  3.746  0.0280  0.0316  102  94222
274092  219.815  219.894  2.728  2.651  0.0279  0.0236  16  93009
303939  219.825  220.181  3.368  3.374  0.0279  0.0320  16  94052
485878  220.247  220.181  3.137  3.374  0.0265  0.0320  16  94052
489301  220.419  220.489  4.063  3.518  0.0275  0.0335  16  127950
1356155  220.557  220.484  8.677  8.744  0.0341  0.0262  507  295232
304711  220.570  220.545  3.812  3.526  0.0257  0.0307  16  127951
303995  220.607  220.545  3.232  3.526  0.0258  0.0307  16  127951
491374  220.857  220.712  4.379  4.534  0.0264  0.0286  16  94899
1419926  221.653  222.051  11.852  11.817  0.0294  0.0372  219  312542
1425976  222.282  222.465  10.980  11.012  0.0292  0.0371  219  314388
1425981  222.296  222.392  11.115  11.246  0.0499  0.0549  145  271094
1304894  222.849  222.800  9.592  9.624  0.0498  0.0406  613  282209
304069  223.141  223.025  3.145  3.090  0.0277  0.0342  366  127556
307021  223.147  223.439  4.546  4.506  0.0286  0.0371  1026  94926
304072  223.179  223.025  3.225  3.090  0.0279  0.0342  366  127556
1340816  227.577  227.271  7.705  7.620  0.0424  0.0329  15  294728
-99  227.620  227.488  7.415  7.215  0.0322  0.0312  -99  290600
1356519  228.290  228.217  7.865  7.509  0.0463  0.0518  15  294744
1368460  228.819  228.677  6.655  6.416  0.0352  0.0313  23  289548
1333982  228.881  228.677  6.370  6.416  0.0351  0.0313  23  289548
1340891  228.883  229.156  7.475  7.344  0.0457  0.0455  15  294752
1351506  229.019  229.179  6.848  6.801  0.0368  0.0455  23  294158
1338006  229.080  229.138  7.162  7.302  0.0360  0.0447  23  294749
596945  229.346  229.591  4.214  4.113  0.0361  0.0436  40  154141
1340917  229.351  229.391  7.489  7.231  0.0336  0.0301  23  294755
1351543  229.493  229.391  6.746  7.231  0.0349  0.0301  23  294755
1338066  229.572  229.391  7.133  7.231  0.0320  0.0301  23  294755
1360957  229.671  229.829  4.418  4.432  0.0471  0.0513  452  296435
1356556  229.724  229.799  7.576  7.686  0.0369  0.0430  23  295375
1908661  229.856  229.858  25.787  25.626  0.0323  0.0301  199  366728
1359025  230.155  230.239  8.052  7.954  0.0338  0.0333  17  295986
1305216  230.663  230.692  8.541  8.679  0.0366  0.0420  17  268588
1440843  236.034  236.018  27.673  27.893  0.0316  0.0372  151  287109
1351843  236.726  236.678  5.891  5.924  0.0419  0.0335  8752  294280
-99  237.049  237.071  9.073  9.112  0.0393  0.0417  -99  15373
488053  239.736  239.931  2.443  2.415  0.0473  0.0407  641  128172
726245  331.081  330.979  12.968  12.982  0.0274  0.0344  1255  159346
354136  333.150  333.375  14.018  14.027  0.0266  0.0291  80  105496
354133  333.172  333.375  14.076  14.027  0.0252  0.0291  80  105496
718778  333.340  333.375  13.436  14.027  0.0281  0.0291  80  105496
717459  334.002  334.150  13.148  12.884  0.0262  0.0264  80  104379
351029  334.154  334.150  13.254  12.884  0.0258  0.0264  80  104379
726267  334.218  334.675  13.426  13.492  0.0256  0.0251  80  159357
718806  334.241  334.675  13.543  13.492  0.0262  0.0251  80  159357
352638  339.313  339.279  14.264  14.226  0.0367  0.0376  5161  26877
-99  339.841  339.843  13.882  13.885  0.0173  0.0173  -99  157214
-99  343.244  343.629  1.143  0.960  0.0164  0.0262  -99  326343
-99  343.269  342.597  1.144  0.878  0.0154  0.0248  -99  326334
346348  348.820  348.721  13.534  13.580  0.0395  0.0393  11247  103654
348105  350.596  350.485  13.994  13.962  0.0415  0.0388  8  104113
716494  350.839  350.983  14.285  14.139  0.0434  0.0483  8  104117
727652  350.861  350.661  15.420  15.399  0.0428  0.0427  8  159709
348113  350.861  350.983  14.132  14.139  0.0417  0.0483  8  104117
719132  350.882  350.927  15.234  15.111  0.0394  0.0378  8  157574
719133  350.897  350.927  15.197  15.111  0.0427  0.0378  8  157574
346404  350.906  350.739  13.652  13.623  0.0425  0.0445  8  103678
351448  351.030  350.799  14.835  14.901  0.0384  0.0371  8  104920
352962  351.411  351.344  15.354  15.483  0.0412  0.0438  8  157914
724001  351.591  351.547  14.208  14.030  0.0430  0.0463  8  104121
715345  351.602  351.547  13.962  14.030  0.0433  0.0463  8  104121
717878  351.796  352.088  14.763  14.589  0.0418  0.0465  8  104539
349838  351.953  352.088  14.475  14.589  0.0411  0.0465  8  104539
719168  351.957  351.854  15.119  15.411  0.0419  0.0462  8  5163
717887  351.972  352.088  14.711  14.589  0.0416  0.0465  8  104539
-99  352.548  352.583  13.449  13.448  0.0386  0.0399  -99  26932
714153  352.556  352.583  13.467  13.448  0.0417  0.0399  12295  26932
-99  357.996  358.022  14.751  14.734  0.0466  0.0450  -99  104591
