#M_vir  M_star  M_HI   M_H2   SFR
2.42e+10 6.22e+07 8.23e+07 1.02e+07 1.29e-02
6.06e+10 1.07e+08 5.41e+07 1.51e+07 1.05e-02
8.05e+09 1.72e+08 0.00e+00 0.00e+00 0.00e+00
3.32e+10 8.69e+07 5.08e+07 5.97e+06 5.26e-03
1.56e+10 1.19e+08 2.80e+07 1.09e+07 8.40e-03
2.84e+10 7.80e+07 6.95e+07 8.83e+06 8.25e-03
2.23e+10 6.01e+07 7.28e+07 8.77e+06 1.17e-02
1.99e+10 1.30e+08 1.19e+07 3.34e+06 6.74e-04
1.70e+10 7.25e+07 5.70e+07 1.33e+07 1.30e-02
1.62e+10 1.01e+07 9.62e+07 1.00e+06 3.82e-04
1.94e+10 6.55e+07 5.74e+07 1.05e+07 9.35e-03
1.50e+10 1.51e+08 0.00e+00 0.00e+00 0.00e+00
3.86e+10 1.38e+08 3.29e+06 3.28e+06 1.08e-03
2.22e+10 2.91e+07 7.78e+07 8.66e+06 6.28e-03
3.74e+10 2.00e+07 1.47e+08 6.78e+06 9.10e-03
2.23e+10 5.04e+07 6.86e+07 4.48e+06 4.55e-03
1.66e+10 6.40e+07 5.16e+07 1.16e+07 1.09e-02
2.42e+10 7.73e+07 2.81e+07 1.05e+07 5.97e-03
2.06e+10 2.21e+07 8.79e+07 9.26e+06 1.39e-02
2.19e+10 8.52e+07 2.59e+07 3.47e+06 8.79e-04
2.06e+10 5.38e+07 4.39e+07 6.50e+06 5.80e-03
2.30e+10 3.05e+07 6.42e+07 2.69e+06 2.27e-03
1.70e+10 4.81e+07 5.11e+07 9.68e+06 1.20e-02
1.59e+10 3.54e+07 4.84e+07 8.24e+06 3.77e-03
1.89e+10 6.02e+07 3.76e+07 7.46e+06 4.31e-03
2.05e+10 3.01e+07 7.87e+07 5.35e+06 5.89e-03
3.07e+10 1.06e+08 6.78e+06 3.47e+06 2.30e-03
2.32e+10 6.08e+07 4.17e+07 1.17e+07 9.07e-03
2.35e+10 1.24e+08 0.00e+00 0.00e+00 0.00e+00
2.69e+10 8.24e+07 1.65e+07 5.03e+06 1.90e-03
1.23e+10 2.50e+07 5.56e+07 4.33e+06 1.93e-03
1.63e+10 5.29e+07 3.97e+07 1.13e+07 7.65e-03
4.65e+10 6.27e+07 7.86e+07 1.13e+07 5.48e-03
1.83e+10 2.53e+07 6.36e+07 4.42e+06 4.71e-03
2.38e+10 3.01e+07 5.92e+07 7.22e+06 7.06e-03
2.17e+10 1.39e+07 6.64e+07 4.16e+06 3.63e-03
1.56e+10 3.45e+07 5.11e+07 1.25e+07 1.14e-02
1.55e+10 2.01e+07 6.76e+07 1.19e+07 1.75e-02
2.28e+10 4.97e+07 4.46e+07 2.27e+06 8.20e-04
1.69e+10 9.06e+07 6.36e+06 4.81e+06 2.23e-03
1.08e+10 5.15e+07 3.34e+07 6.12e+06 5.89e-03
3.23e+10 4.33e+07 5.58e+07 2.03e+06 5.45e-04
3.01e+10 1.81e+07 8.42e+07 7.98e+06 3.34e-03
2.72e+10 1.79e+07 5.27e+07 2.72e+06 1.40e-03
2.06e+10 2.59e+07 5.75e+07 7.75e+06 7.98e-03
2.10e+10 2.27e+07 6.91e+07 4.12e+06 4.28e-03
1.77e+10 4.74e+07 3.50e+07 8.42e+06 7.41e-03
1.29e+10 1.05e+08 0.00e+00 0.00e+00 0.00e+00
2.27e+10 3.16e+07 5.77e+07 4.92e+06 4.79e-03
2.09e+10 4.32e+07 4.01e+07 5.80e+05 2.42e-04
1.39e+10 4.12e+07 3.50e+07 7.97e+06 4.98e-03
1.41e+10 6.66e+07 1.34e+07 2.87e+06 7.51e-04
2.07e+10 3.58e+07 4.35e+07 3.02e+06 3.29e-03
1.77e+10 2.24e+07 5.32e+07 8.30e+06 1.03e-02
1.27e+10 2.07e+07 5.77e+07 3.48e+06 3.51e-03
1.65e+10 2.50e+07 5.45e+07 2.75e+06 2.87e-03
1.77e+10 1.84e+07 4.67e+07 6.98e+06 5.23e-03
2.06e+10 4.39e+07 3.33e+07 7.80e+06 6.25e-03
2.34e+10 9.86e+07 0.00e+00 0.00e+00 0.00e+00
3.10e+09 9.80e+07 0.00e+00 0.00e+00 0.00e+00
