name        ra       dec 
CGASS41728  221.14305  8.9371
CGASS38809  221.58437  10.52219
CGASS41904  226.32452  8.15355
CGASS20790  227.02043  34.38717
CGASS101000  27.221372604370117  13.423945426940918
CGASS113003  208.52609252929688  5.356356143951416
CGASS113004  195.30677795410156  27.91427230834961
CGASS113005  206.62339782714844  3.878312587738037
CGASS108006  125.6080322265625  4.163252830505371
CGASS113008  209.23089599609375  14.142251968383789
CGASS113010  208.2726287841797  15.844551086425781
CGASS114008  217.05332946777344  25.83052635192871
CGASS113011  209.77664184570312  17.93471336364746
CGASS114010  217.19442749023438  27.250669479370117
CGASS109005  143.77418518066406  9.649227142333984
CGASS109006  146.9255828857422  9.161054611206055
CGASS110007  161.70562744140625  18.031082153320312
CGASS108016  128.48606872558594  26.9726619720459
CGASS124000  5.932774066925049  14.306722640991211
CGASS108019  122.55074310302734  22.77229118347168
CGASS108021  133.8280792236328  27.34616470336914
CGASS101004  20.377769470214844  14.504983901977539
CGASS108026  128.01458740234375  24.01091766357422
CGASS108029  122.81633758544922  25.179367065429688
CGASS114021  216.09657287597656  13.798441886901855
CGASS122000  339.8410949707031  13.88228702545166
CGASS112011  194.90618896484375  28.1661376953125
CGASS109010  143.51132202148438  9.479204177856445
CGASS112014  181.13412475585938  2.453124761581421
CGASS109011  146.39772033691406  4.4105916023254395
CGASS110013  154.30299377441406  13.19205379486084
CGASS113024  200.92323303222656  31.64631462097168
CGASS112016  193.34034729003906  26.36142349243164
CGASS109014  136.326416015625  18.442203521728516
CGASS109018  137.34393310546875  15.613663673400879
CGASS108045  124.7712631225586  21.791400909423828
CGASS109021  139.2416229248047  6.715085983276367
CGASS109022  136.1638641357422  18.25737190246582
CGASS108050  124.83245086669922  21.05885124206543
CGASS123001  351.7925109863281  15.017227172851562
CGASS101007  20.288898468017578  15.69477367401123
CGASS108051  134.01658630371094  13.422026634216309
CGASS109028  141.8700408935547  3.9296011924743652
CGASS108054  134.95437622070312  5.060852527618408
CGASS109031  141.31617736816406  11.596884727478027
CGASS114041  215.92660522460938  34.00901412963867
CGASS124003  7.409916400909424  0.410373717546463
CGASS112035  194.77206420898438  27.644432067871094
CGASS114046  213.67051696777344  13.37817096710205
CGASS114048  217.23251342773438  25.737632751464844
CGASS112038  189.42152404785156  27.129562377929688
CGASS109038  135.8187713623047  18.261079788208008
CGASS111024  176.09640502929688  16.55126953125
CGASS124004  6.393374919891357  0.8468470573425293
CGASS108064  126.53099060058594  21.456708908081055
CGASS111027  179.36119079589844  25.23307991027832
CGASS124006  4.947213172912598  0.5907948613166809
CGASS110017  158.9137725830078  28.565807342529297
CGASS109045  141.31427001953125  10.886727333068848
CGASS111031  173.51626586914062  2.973440408706665
CGASS113062  200.39549255371094  26.30466651916504
CGASS109050  149.6509552001953  13.25527572631836
CGASS112050  192.17092895507812  34.47760772705078
CGASS108072  124.88379669189453  21.394304275512695
CGASS113067  209.51959228515625  15.314831733703613
CGASS111035  167.68838500976562  12.016142845153809
CGASS109057  140.06504821777344  1.2888157367706299
CGASS109058  148.01583862304688  19.651123046875
CGASS109059  142.3798065185547  23.893579483032227
CGASS109060  137.77322387695312  9.349555969238281
CGASS108080  120.3936996459961  9.304851531982422
CGASS114072  210.9434356689453  14.868104934692383
