#Table1
name,objID,ra,dec,specObjID,z
GASS14260,1237657878612213801,115.494294034439,23.1763724437424,1043817833349277696,0.04311088
GASS14260,1237657878612213801,115.494294034439,23.1763724437424,1043816734139639808,0.04313775
GASS14017,1237657594608681233,116.110404581113,29.2693985444933,1000985809878280192,0.03955464
GASS21842,1237661125607293516,116.391503026768,18.8033598715293,1781247918968170496,0.04497276
GASS107019,1237657775534178328,117.177473338967,26.5397688956915,966086480357255168,0.01549638
GASS13775,1237657775534637138,117.982060130946,27.3029398006015,966155474711898112,0.02638113
GASS36125,1237667143394001534,118.17778705701,14.8406766254714,2341896876325890048,0.047622
GASS17029,1237660563504431412,118.181277982941,24.1221634735034,1355693208901806080,0.04567961
GASS51334,1237667212649365959,118.373070872868,14.0229088644184,2549156747877050368,0.02943707
GASS107005,1237667107422732322,118.434896196165,13.3374378947263,2549100672784033792,0.01526916
GASS51276,1237667107959734846,118.518697281426,13.9541029772725,2549091876691011584,0.02960716
GASS107026,1237657401336135889,118.637524908925,29.710750630404,1193589735163979776,0.01666828
GASS51351,1237667108496802013,118.741088537074,14.4552475035118,2549171041528211456,0.02934334
GASS51416,1237667211038753056,118.999830531866,12.9814652889442,2550270553021769728,0.04446858
GASS51462,1237667107959996479,119.002605358128,14.1957415607141,2551368965221804032,0.0356731
GASS51390,1237667292643393663,119.069302093786,11.6621674107741,2550220250364798976,0.04564057
GASS51336,1237667108496933522,119.071267189683,14.6026851024647,2549159496656119808,0.04738454
GASS56375,1237670359786389605,119.33213785879,11.2060553799754,2722523620055214080,0.04639579
GASS19132,1237661088028230023,120.083554548623,22.4430094259629,1423141925711538176,0.03499033
GASS108143,1237667253988884534,120.158574952679,13.6563981643197,2550306562027579392,0.01581326
GASS108136,1237667782807192080,120.201520464626,10.0836743620979,2723671515982751744,0.01367722
GASS108111,1237667781733384291,120.319207244134,9.26482251981071,2723627810395547648,0.01551818
GASS108080,1237667781733384563,120.393708158094,9.30484656879542,2723628909907175424,0.01531348
GASS108065,1237667107960717451,120.493713695396,15.0587514263465,2551430812750866432,0.01612742
GASS108145,1237667781733450095,120.527276679319,9.37735223236263,2723614341378107392,0.01377166
GASS108022,1237667781733450556,120.545603338803,9.36160885554031,2723612692110665728,0.01600626
GASS108052,1237667536920445318,120.550283696962,10.5427990354952,2723651724773451776,0.01449115
GASS108078,1237667782807323419,120.591415832857,10.1518482051913,2722461222770337792,0.01522471
GASS108013,1237670965913845830,120.657759509083,9.50009193837738,2723686084511819776,0.01593705
GASS108150,1237671123754221619,120.699817948688,7.43160982184903,2893642268768495616,0.01587113
GASS56319,1237667782270582824,120.84488082509,9.96273930951295,2722450227654060032,0.03453565
GASS108116,1237667730193580632,120.865172723845,9.70996721009191,2723689383046703104,0.01453429
GASS56320,1237667782270583173,120.926136342666,10.0332709245267,2722450502531966976,0.03368117
GASS108132,1237667731267518923,120.959081355538,10.5484978634865,2723664918912985088,0.01540021
GASS108084,1237671262266982600,120.984876882254,8.69967450281229,2723577782616483840,0.01656087
GASS51580,1237667255063216616,121.016035518367,15.088474992138,2552500088379303936,0.03897484
GASS108119,1237671262267048434,121.062570464986,8.73214356669667,2723564588476950528,0.01572973
GASS51563,1237667108497981698,121.176279099528,15.7757398537611,2552482221315352576,0.02928352
GASS56312,1237667782807650717,121.234755952262,10.4391808586748,2722441981316851712,0.03436243
GASS14247,1237657595685896270,121.367161960359,35.9466945235039,1004400888212645888,0.03301898
GASS56304,1237667536383836522,121.39208246901,10.3934002679697,2722428787177318400,0.0339674
GASS108011,1237671261193502777,121.776639570267,7.8828959596324,2893613681466173440,0.01545071
GASS108090,1237671122680873287,121.853402750642,6.86321615357324,1977142135618562048,0.01498656
GASS108090,1237671122680873287,121.853402750642,6.86321615357324,2893586468553385984,0.01501067
GASS108112,1237667109035508318,122.308219525245,16.9875585314164,2552556438350227456,0.01618256
